e_id,eh_company,eh_location,eh_role,eh_start,eh_end,data_origin
144,Norwyn Holdings,UK,Infrastructure Engineer,2019,2025,demo
144,Linfield Holdings,UK,Civil Engineer,2013,2019,demo
144,Rivershaw Group,UK,Structural Engineer,2009,2013,demo
144,Greenstead Advisory,UK,Project Engineer,2005,2009,demo
144,Alderstone Collective,UK,Senior Infrastructure Engineer,2002,2005,demo
62,Nordwick Consulting,UK,Chartered Building Surveyor,2022,,demo
62,Foxleigh Associates,UK,Chartered Building Surveyor,2019,2022,demo
62,Nordwick Consulting,UK,Chartered Building Surveyor,2015,2019,demo
62,Ashbury Strategic Services,UK,Chartered Building Surveyor,2003,2015,demo
62,Oxleigh Group,UK,Chartered Building Surveyor,1999,2003,demo
62,Greywood Partners,UK,Chartered Building Surveyor,1991,1999,demo
72,Nordwick Consulting,UK,Senior Chartered Architectural Technologist,2017,,demo
72,Harmont Group,UK,Senior Chartered Architectural Technologist,2012,2017,demo
72,Oxleigh Group,UK,Senior Chartered Architectural Technologist & Project Manager,2007,2012,demo
72,Denbridge Advisory,UK,Senior Technician – Associate – Associate Director - Director,2001,2007,demo
72,Stonewell Management,UK,Senior Technician,1996,2001,demo
59,Nordwick Consulting,UK,Team leader / Associate Architect,2016,,demo
59,Helston & Clarke,UK,Senior Architect,2015,2016,demo
59,Merrifield Holdings,UK,Team Leader,2014,2015,demo
59,Hillbeck Group,UK,Architect,2012,2014,demo
59,Wayford Consulting,UK,Architect,2004,2012,demo
116,Nordwick (Central),Central UK,Interior Designer,2019,,demo
116,Brinkham Advisory,UK,Junior Interior Designer,2016,2019,demo
113,Nordwick Consulting,UK,Associate Director of Electrical Engineering,2021,,demo
113,Nordwick Consulting,UK,Associate Electrical Engineer,2013,2021,demo
113,Nordwick Consulting,UK,Senior Electrical Engineer,2006,2013,demo
113,Nordwick Consulting,UK,Electrical Engineer,2003,2006,demo
113,Sutton & Langley,UK,Electrical Engineer,1995,2003,demo
134,Nordwick (Central),Central UK,Senior Electrical Engineer,2019,,demo
134,Thorncrest Services,UK,Building Services Engineer,2013,2019,demo
134,Nordwick (Central),Central UK,Senior Electrical Engineer,2009,2013,demo
134,Devoncrest Ltd,UK,Senior Electrical Technician,1999,2009,demo
134,BoundaryPoint Surveying,UK,Electrician,1993,1999,demo
134,Ashwell & Co.,UK,Electrician,1989,1993,demo
134,Ashwell & Co.,UK,Apprentice Electrician,1984,1989,demo
56,Nordwick (North),North UK,Senior Chartered Architect,2021,,demo
56,LandMark Asset Solutions,UK,Associate,2016,2020,demo
56,SiteSpan Developments,UK,Team Lead/BIM Lead,2015,2016,demo
56,Crestline Property Services,UK,Associate,2012,2015,demo
56,Geowise Land Consultancy,UK,Director,1999,2016,demo
56,BuildPoint Services,UK,Project Architect,1997,1999,demo
112,Nordwick Consulting,UK,Senior Interior Designer,2016,2025,demo
112,Nordwick Consulting,UK,Interior Designer,2014,2016,demo
112,Nordwick Consulting,UK,Buildings & Energy Officer,2012,2014,demo
112,Devoncrest Ltd,UK,Landscape Technician,2009,2012,demo
112,MeasuredWorks Ltd,UK,Designer,2006,2009,demo
112,Ridgepath Construction,UK,Interior Designer,2003,2006,demo
124,Elevate Property Group,UK,Senior Project Manager,2011,2014,demo
124,Faircrest Solutions,UK,Operations Manager,2008,2011,demo
124,SurveySphere UK,UK,UK Client Project Manager,2004,2008,demo
124,TerraCore Developments,UK,Associate Project Manager,2002,2004,demo
124,ProBuild Estates Ltd,UK,Project Manager,1998,2002,demo
124,LandCraft Consultancy,UK,Architect,1994,1998,demo
124,Lindale Partners,UK,Architect,1991,1994,demo
137,Devoncrest Ltd,UK,Risk & Compliance Surveyor,2022,2023,demo
137,Nordwick (Central),Central UK,Risk & Compliance Consultant,2014,2022,demo
137,Nordwick (Central),Central UK,CDM Coordinator,2004,2014,demo
137,Nordwick (Central),Central UK,Building Surveyor,2002,2004,demo
137,AxisLand Surveying,UK,CAD Design Draftsman,1995,2002,demo
137,Devoncrest Ltd,UK,Technical Officer,1993,1995,demo
137,UrbanParcel Property,UK,Structural Eng. Technician,1989,1993,demo
145,Nordwick (London),"London, UK","Associate Architect, Senior Architect & Architect",2013,,demo
145,Stratum Survey Services,UK,Project Architect,2002,2012,demo
145,Bluebeam Estates,UK,Assistant Architect,1996,2002,demo
146,Nordwick (London),"London, UK",Architectural Assistant (Part II),2018,,demo
146,Groundstone Developments,UK,Architectural Assistant (Part II) Intern,2017,2017,demo
146,Pinnacle Survey Group,UK,Architectural Assistant (Part I),2013,2015,demo
101,Nordwick (Central),Central UK,Associate Architect,2022,,demo
101,Alderwick Consultancy,UK,Associate Architect,2022,2022,demo
101,Arcstone Property,UK,Senior Architect,2021,2022,demo
101,Nordwick (Central),Central UK,Chartered Architect,2014,2021,demo
101,Marlowe Strategic Services,UK,Chartered Architect,2006,2013,demo
147,Nordwick (Central),Central UK,Associate Director – Quantity Surveying,2025,,demo
147,Buildwise Contractors,UK,Associate Director,2017,2024,demo
147,FieldMark Surveying,UK,Associate,2000,2017,demo
147,Silvergate Plc,UK,Trainee Surveyor,1998,2000,demo
147,Pathway Developments,UK,Trainee Surveyor,1995,1999,demo
117,Nordwick (Central),Central UK,Senior Associate Quantity Surveyor,2018,,demo
117,Eastbridge Services,UK,Health & Safety Adviser,2016,2018,demo
117,Northvale Strategic,UK,CDM Consultant / Quantity Surveyor,2014,2016,demo
117,EstateLogic Ltd,UK,CDM Co-ordinator,2010,2014,demo
117,Northvale Strategic,UK,Quantity Surveyor,1999,2010,demo
148,Nordwick (London),"London, UK",Senior Interior Designer /Design Project Manager,2023,,demo
148,Nordwick (London),"London, UK",Senior Interior Designer,2007,2023,demo
148,FoundationPoint UK,UK,Interior Designer/ Architectural Assistant,1992,2007,demo
119,Nordwick (Central),Central UK,Electrical Engineer,2023,,demo
119,Aldenbury Group,UK,Approved Electrician,2016,2023,demo
119,Brickford Construction,UK,Approved Electrician,2013,2016,demo
119,Aldenbury Group,UK,Approved Electrician,2001,2013,demo
100,Nordwick Consulting,UK,Associate Electrical Engineer,2022,,demo
100,Nordwick Consulting,UK,Senior Electrical Engineer,2019,2022,demo
100,Nordwick Consulting,UK,Electrical engineer,2016,2019,demo
100,Northline Property,UK,Approved Electrician,2014,2016,demo
100,Struktura Group,UK,Approved Electrician,2012,2014,demo
100,GroundGrid Surveying,UK,Approved Electrician,2008,2012,demo
100,Buildwise Solutions,UK,Approved Electrician,2001,2008,demo
100,PropertyCore Services,UK,Installation / Maintenance Engineer,1994,2001,demo
