epe_id,cv_id,data_origin
1,38,demo
2,27,demo
2,38,demo
3,27,demo
3,38,demo
4,27,demo
4,38,demo
4,41,demo
5,27,demo
6,19,demo
6,27,demo
6,28,demo
7,27,demo
7,56,demo
8,27,demo
9,27,demo
10,27,demo
11,41,demo
12,40,demo
12,56,demo
13,27,demo
13,41,demo
14,18,demo
15,19,demo
15,37,demo
16,29,demo
16,43,demo
17,27,demo
18,41,demo
19,27,demo
19,37,demo
20,27,demo
20,56,demo
21,30,demo
22,27,demo
23,27,demo
23,41,demo
24,27,demo
24,37,demo
25,18,demo
26,18,demo
27,18,demo
28,27,demo
29,27,demo
30,27,demo
31,25,demo
31,38,demo
32,25,demo
32,27,demo
32,57,demo
33,36,demo
34,18,demo
34,29,demo
35,28,demo
35,56,demo
36,16,demo
36,26,demo
36,34,demo
36,51,demo
37,25,demo
38,27,demo
39,18,demo
39,28,demo
40,36,demo
41,28,demo
41,58,demo
42,27,demo
42,37,demo
43,27,demo
44,27,demo
45,27,demo
46,27,demo
47,25,demo
47,38,demo
48,28,demo
49,27,demo
50,42,demo
51,27,demo
52,28,demo
53,27,demo
53,37,demo
54,41,demo
55,27,demo
55,37,demo
56,4,demo
57,50,demo
58,21,demo
59,28,demo
59,59,demo
60,28,demo
61,50,demo
62,50,demo
63,27,demo
64,27,demo
65,27,demo
65,37,demo
66,27,demo
66,37,demo
67,27,demo
67,41,demo
68,27,demo
69,25,demo
69,28,demo
70,28,demo
71,27,demo
71,37,demo
72,17,demo
72,27,demo
73,27,demo
74,24,demo
75,27,demo
76,27,demo
77,27,demo
78,27,demo
78,38,demo
79,27,demo
79,56,demo
80,27,demo
80,29,demo
80,41,demo
81,29,demo
82,27,demo
82,37,demo
83,27,demo
83,37,demo
84,19,demo
85,28,demo
86,27,demo
87,28,demo
88,28,demo
89,27,demo
89,56,demo
90,28,demo
91,27,demo
91,38,demo
92,27,demo
92,60,demo
93,27,demo
94,25,demo
95,27,demo
95,56,demo
96,28,demo
97,18,demo
98,28,demo
98,56,demo
99,27,demo
99,28,demo
99,37,demo
100,5,demo
101,11,demo
102,11,demo
103,5,demo
104,28,demo
104,56,demo
105,26,demo
106,20,demo
107,4,demo
108,28,demo
109,28,demo
109,56,demo
110,27,demo
111,28,demo
111,37,demo
111,54,demo
112,37,demo
112,53,demo
113,24,demo
113,37,demo
113,52,demo
114,28,demo
115,28,demo
116,28,demo
116,56,demo
117,27,demo
118,27,demo
119,27,demo
120,27,demo
121,27,demo
121,56,demo
122,27,demo
122,56,demo
123,27,demo
123,56,demo
124,43,demo
125,37,demo
125,43,demo
126,28,demo
127,28,demo
127,29,demo
128,29,demo
129,18,demo
129,29,demo
130,9,demo
130,32,demo
131,9,demo
131,33,demo
132,13,demo
132,33,demo
133,15,demo
133,28,demo
133,45,demo
133,46,demo
134,27,demo
135,27,demo
136,27,demo
136,28,demo
137,27,demo
137,39,demo
138,27,demo
139,27,demo
139,38,demo
140,23,demo
140,28,demo
140,39,demo
141,25,demo
142,27,demo
142,37,demo
143,27,demo
143,31,demo
145,56,demo
146,59,demo
147,44,demo
148,27,demo
149,27,demo
150,8,demo
151,7,demo
152,27,demo
152,56,demo
153,43,demo
154,28,demo
155,28,demo
156,18,demo
156,23,demo
156,28,demo
157,18,demo
157,28,demo
158,27,demo
158,38,demo
159,8,demo
160,27,demo
161,27,demo
162,28,demo
163,27,demo
163,41,demo
164,27,demo
164,56,demo
165,25,demo
165,28,demo
166,29,demo
166,38,demo
167,18,demo
168,18,demo
169,2,demo
170,27,demo
170,41,demo
171,27,demo
172,25,demo
172,56,demo
173,27,demo
174,36,demo
175,24,demo
175,47,demo
176,21,demo
177,27,demo
177,41,demo
178,27,demo
178,37,demo
179,18,demo
180,18,demo
181,18,demo
182,40,demo
183,28,demo
183,29,demo
183,40,demo
184,27,demo
184,41,demo
185,10,demo
185,37,demo
186,10,demo
187,10,demo
188,6,demo
188,10,demo
188,48,demo
188,49,demo
189,3,demo
189,35,demo
189,55,demo
190,2,demo
191,27,demo
191,37,demo
192,42,demo
193,1,demo
193,12,demo
193,33,demo
194,14,demo
194,27,demo
195,28,demo
196,27,demo
197,22,demo
197,27,demo
198,27,demo
198,41,demo
199,27,demo
200,27,demo
201,27,demo
202,37,demo
203,41,demo
