pm_name,pm_location,pm_client,pm_notes,data_origin
South UK County Council 1: D&B Secondary School,,South UK County Council 1,,demo
North UK City Council 1: New Secondary School 1,,North UK City Council 1,,demo
North UK City Council 1: New Secondary School with SEN 1,,North UK City Council 1,,demo
North UK City Council 1: New SEN College 1,,North UK City Council 1,,demo
South West UK County Council 1: New Community Centre,,South West UK County Council 1,,demo
North UK City Council 1: modular temporary classroom blocks,,North UK City Council 1,,demo
North UK City Council 1: New Build Residential Care Home 1,,North UK City Council 1,,demo
North UK City Council 1: Sports Hub 1,,North UK City Council 1,,demo
North UK City Council 1: Sports Hub 2,,North UK City Council 1,,demo
North UK City Council 1: Sports Hub 3,,North UK City Council 1,,demo
East UK County Council 1: New SEN School 2,,East UK County Council 1,,demo
East UK County Council 1: New SEN Specialist Academy,,East UK County Council 1,,demo
East UK City Council 1: New SEN Building,,East UK City Council 1,,demo
North UK City Council 1: Town Hall Refurbishment,,North UK City Council 1,,demo
North UK City Council 1: Modular Replacement,,North UK City Council 1,,demo
North UK City Council 1: New Secondary Academy SRP,,North UK City Council 1,,demo
Private Company 2: City Park & Ride,,Private Company 2,,demo
East UK County Council 1: New SEN School 3,,East UK County Council 1,,demo
East UK County Council 1: 630 Place New Primary School,,East UK County Council 1,,demo
North UK City Council 1: Office Building Conversion,,North UK City Council 4,,demo
North UK City Council 1: Renovations to existing tower blocks,,North UK City Council 1,,demo
North UK City Council 1: New Leisure & Wellbeing Centre,,North UK City Council 1,,demo
East UK County Council 1: New SEN School,,East UK County Council 1,,demo
East UK County Council 1: Academy Three Storey Standalone Expansion,,East UK County Council 1,,demo
North UK City Council 1: Repairs to Grade II listed mill house,,North UK City Council 1,,demo
North UK City Council 1: Repairs to Grade II listed former town hall,,North UK City Council 1,,demo
North UK City Council 1: Renovation of Grade 1 Victorian Market Building,,North UK City Council 1,,demo
North UK City Council 1: New Build Housing Development 1,,North UK City Council 1,,demo
North UK City Council 1: New Build Housing Development 2,,North UK City Council 1,,demo
North UK City Council 1: New Build Housing Development 3,,North UK City Council 1,,demo
East UK County Council 1: Secondary Academy Expansion 2,,East UK County Council 1,,demo
South West UK County Council 1: Secondary School Expansion with SEN 1,,South West UK County Council 1,,demo
South West UK County Council 1: College BSF Redevelopment,,South West UK County Council 1,,demo
South West UK County Council 1: Library Refurbishment and Remodelling,,South West UK County Council 1,,demo
Home Builder 1: Social Housing Refurbishment,,Home Builder 1,,demo
Private Company 5: Wind turbine factory Extension,,Private Company 5,,demo
East UK County Council 1: Secondary Academy Expansion 13,,East UK County Council 1,,demo
North UK Education Authority 1: New Secondary School & Refurbishment,,North UK Education Authority 1,,demo
Various Ministry of Defence Projects,,Ministry of Defence,,demo
East UK County Council 1: New 2FE Primary School 3,,East UK County Council 1,,demo
East UK Borough Council 1: New Build Sheltered Housing,,East UK Borough Council 1,,demo
East UK County Council 1: Residential Tower Asbestos removal,,East UK County Council 1,,demo
London UK Borough Council 1: New Crematorium,,London UK Borough Council 1,,demo
London UK Borough Council 1: High Needs & Family Resilience Centre,,London UK Borough Council 1,,demo
London UK Borough Council 1: Secondary School 2FE Expansion,,London UK Borough Council 1,,demo
East UK County Council 1: Academy Refurbishment and Dining Hall Extension,,East UK County Council 1,,demo
Housing Association 1: Residential Development,,Housing Association 1,,demo
East UK County Council 1: Secondary Academy SRB Expansion 15,,East UK County Council 1,,demo
Housing Association 2: Residential Development,,Housing Association 2,,demo
East UK County Council 1: Secondary Academy Refurbishment 1,,East UK County Council 1,,demo
East UK County Council Primary School Electrical Upgrade,,East UK County Council 1,,demo
East UK County Council 1: New SEN School 5,,East UK County Council 1,,demo
Central UK Unitary Council 1: Condition Surveys,,Central UK Unitary Council 1,,demo
East UK County Council 1: 25% Carbon Reduction Programme & CRC Management,,East UK County Council 1,,demo
Nordwick Energy: Special Purpose Vehicle for Renewable Assets,,Nordwick Energy,,demo
University Hospital Trust – Estate Decarbonisation Appraisal,,NHS Hospital 1,,demo
Town Pavilion Heating Replacement,,Central UK Borough Council 1,,demo
Numerous Local Authorities and the NHS: Decarbonisation Plans,,Numerous Local Authorities and the NHS,,demo
South West UK County Council 1: Carbon and Energy Management,,South West UK County Council 1,,demo
Home Builder 2: New Build Housing Development,,Home Builder 2,,demo
Home Builder 3: New Build Housing Development,,Home Builder 3,,demo
East UK County Council 1: New Secondary Academy Expansion,,East UK County Council 1,,demo
East UK County Council 1: New 2FE Primary School 5,,East UK County Council 1,,demo
East UK Borough Council 1: New Residential Housing,,East UK Borough Council 1,,demo
East UK County Council 1: Secondary Academy Expansion 1,,East UK County Council 1,,demo
East UK County Council 1: Secondary Academy Remodelling,,East UK County Council 1,,demo
East UK County Council 1: Specialist School Expansion,,East UK County Council 1,,demo
North UK City Council 1: Plant Nursery Relocation & New Glasshouse,,North UK City Council 1,,demo
Private Company 13: New Residential Development,,Private Company 13,,demo
North UK City Council 1: New Train Station Entrance,,North UK City Council 1,,demo
North UK City Council 1: New Build Housing Development 4,,North UK City Council 1,,demo
North UK City Council 1: New Build Housing Development 5,,North UK City Council 1,,demo
North UK City Council 1: New Build Housing Development 6,,North UK City Council 1,,demo
North UK City Council 1: New Build Residential Care Home 3,,North UK City Council 4,,demo
North UK City Council 1: SEN School Expansion 1,,North UK City Council 1,,demo
North UK City Council 1: Offices Refurbishment,,North UK City Council 1,,demo
North UK City Council 1: Primary School 1FE Expansion,,North UK City Council 1,,demo
North UK City Council 1: New 2FE Primary School 1,,North UK City Council 1,,demo
North UK City Council 1: High Ropes & Modular Office Construction,,North UK City Council 4,,demo
North UK City Council 1: Existing Building Conversion,,North UK City Council 2,,demo
London UK Borough Council 1: Demolition Council Residential Blocks,,London UK Borough Council 1,,demo
London UK Borough Council 1: New Build Construction,,London UK Borough Council 1,,demo
London UK Borough Council 1: Leisure Centre Roof Replacement and internal Refurbishment,,London UK Borough Council 1,,demo
London UK Borough Council 1: New Residential Blocks,,London UK Borough Council 1,,demo
London UK Borough Council 1: Various Measured Term Contracts,,London UK Borough Council 1,,demo
London UK Borough Council 1: Secondary School New Classroom Block,,London UK Borough Council 1,,demo
Private Company 14: UK Hotel Expansion,,Private Company 14,,demo
Central UK Unitary Council 2: Academy Expansion,,Central UK Unitary Council 2,,demo
Nordwick Care: New East UK Care Village,,Nordwick Care,,demo
London UK Borough Council 1: Secondary School 1FE Expansion,,London UK Borough Council 1,,demo
London UK Borough Council 1: Repairs Works & Electrical Upgrade,,London UK Borough Council 1,,demo
Nordwick Care: East UK Care Facility Refurbishment,,Nordwick Care,,demo
East UK City Council 1: Primary School 2 Expansion,,East UK City Council 1,,demo
East UK County Council 1: City Road Improvements Projects,,East UK County Council 1,,demo
East UK County Council 1: Transport Improvement Scheme,,East UK County Council 1,,demo
East UK Town Council 1: historic town Regeneration,,East UK Town Council 1,,demo
East UK County Council 1: Major County Bypass,,East UK County Council 1,,demo
North UK City Council 1: Council Service Office Relocation,,North UK City Council 1,,demo
South UK County Council 2: School 1FE Expansion,,South UK County Council 2,,demo
East UK Borough Council 2: Residential Redevelopment,,East UK Borough Council 2,,demo
South UK Unitary Council 1: Stock Condition Surveys,,South UK Unitary Council 1,,demo
South West UK County Council 1: Secondary School Remodelling & Refurbishment,,South West UK County Council 1,,demo
Private Company 20: UK Hospital Remodeling,,Private Company 20,,demo
East UK County Council 1: New Residential Passivhaus,,East UK County Council 1,,demo
East UK County Council 1: Junior School Structural Underpinning Project,,East UK County Council 1,,demo
East UK County Council 1: KS2 Toilet Refurbishments,,East UK County Council 1,,demo
East UK County Council 1: Primary School Replacement Crittall Windows and Doors,,East UK County Council 1,,demo
North UK City Council 1: Tower Block Repairs,,North UK City Council 1,,demo
North UK City Council 1: New Build Residential Care Home 2,,North UK City Council 1,,demo
North UK City Council 1: Gipsy & Traveller Site,,North UK City Council 1,,demo
London UK Borough Council 1: Various Garage Site Conversion Projects,,London UK Borough Council 1,,demo
"Grifin Gardens Care Home, Berkshire",,Private Healthcare Company,,demo
"Seaholly Place, Kent",,Private Healthcare Company,,demo
"Care Facility, Yorkshire",,Private Care Company,,demo
North UK City Council 1: SRP Primary School Refurbishment 1,,North UK City Council 1,,demo
Private Company 24: Refurbishment of Council head office,,Private Company 24,,demo
North UK City Council 1: Primary School Remodelling,,North UK City Council 1,,demo
North UK City Council 1: Office Remodelling,,North UK City Council 1,,demo
Private Company 25: Refurbishment of Religious Building,,Private Company 25,,demo
East UK County Council 1: Rates Bills Processing,,East UK County Council 1,,demo
Central County Constabulary: Rates Bills Processing,,Central County Constabulary,,demo
UK Police Vetting,,Central County Constabulary,,demo
Power Station - LC28 Inspections,,Ministry of Defence,,demo
Private Company 26: Wylfa Power Station 1 - LC28 Inspections,,Private Company 26,,demo
Private Company 27: New Power Station 2,,Private Company 27,,demo
South West UK County Council 1: New Academy Teaching Block,,South West UK County Council 1,,demo
South West UK County Council 1: New SEN School,,South West UK County Council 1,,demo
