e_id,q_type,q_name,q_institution,q_year,data_origin
102,Academic,BTEC Building Services Design,UK College,2004,demo
102,Academic,AutoCAD City & Guilds,UK College,1996,demo
120,Professional,Chartered Member of the Institute of Architectural Technologist MCIAT,N/A,2007,demo
142,Professional,MCIOB,N/A,2024,demo
142,Academic,BSC (Hons) Building Surveying,UK University,2001,demo
128,Professional,Chartered Member of the Chartered Institute of Architectural Technologists (MCIAT),N/A,2014,demo
128,Academic,Building Surveying (BSc Degree),UK University,2007,demo
130,Academic,ONC Mechanical Engineering,UK College,2004,demo
130,Academic,HNC Building Services Engineering,UK College,2006,demo
130,Academic,HND Building Services Engineering,UK College,2007,demo
130,Professional,CIBSE - LCEA / LCC,N/A,2024,demo
140,Academic,NVQ Lv 5 Construction Project Management,UK School/College,2008,demo
140,Academic,HNC Building Studies,UK College,2005,demo
140,Academic,NC Building Studies,UK College,2003,demo
3,Academic,HND Building Services,UK College,1996,demo
3,Professional,BS 7671 2008 : selection/erection/verification of electrical installations -City & Guild,N/A,2008,demo
3,Academic,C&G Electronics and AutoCAD,UK College,1994,demo
3,Professional,Technical member of the IET - TMIET,N/A,2007,demo
3,Professional,CSCS – Professionally Qualified Person - Construction Skills Certification Scheme,N/A,2021,demo
126,Academic,BSc (Hons) Architectural Technology,UK University,2007,demo
126,Academic,BA Architecture,UK University,2011,demo
126,Academic,MArch,UK University,2015,demo
139,Academic,BTEC Award – Gypsy and Traveller Site Management,UK School/College,2007,demo
139,Academic,BA Hons Fine Art ,UK University,2001,demo
63,Academic,BSc Quantity Surveying,UK University,2006,demo
63,Academic,450 RICS study hours,UK College,2008,demo
63,Professional,NEC4 Project Manager Accreditation,N/A,2025,demo
83,Academic,OND Technology,UK College,1977,demo
83,Academic,HND Mechanical,UK College,1980,demo
83,Academic,Polytechnic Certificate in Building Services,UK College,1982,demo
83,Professional,Associate Member CIBSE (1994),N/A,1994,demo
84,Academic,BTEC HNC Electrical Engineering.,UK College,1997,demo
84,Academic,BTEC ONC Electrical Engineering,UK College,1994,demo
