phrase,count
primary school,117
education primary,78
sen school,69
new housing,41
new primary,40
care home,35
secondary school,30
new education,30
education send,30
listed building,28
school education,28
education new,27
school expansion,27
grade listed,27
sports hub,25
sports hall,24
sports leisure,23
hethersett academy,22
new school,22
academy expansion,21
social housing,21
new teaching,21
new building,20
school building,20
building regulations,20
new sen,19
housing new,18
town hall,18
net zero,16
building new,16
academy new,15
fire alarm,15
semi detached,15
health safety,15
specialist resource,15
new classroom,14
extension school,13
refurbishment education,13
expansion education,13
zero carbon,13
affordable homes,13
primary education,13
new residential,13
swaffham sen,13
planning consent,13
affordable housing,13
king lynn,12
building fabric,12
new extension,12
special school,12
internal remodelling,12
wymondham academy,11
refurbishment building,11
reinforced ground,11
students aged,11
storm water,11
resource base,11
comprised new,11
building surveying,11
junior school,11
condition survey,11
education secondary,10
source heat,10
live school,10
clerk new,10
civil education,10
energy efficient,10
hub sports,10
park sports,10
rates bills,10
energy efficiency,10
new sports,10
regulations category,10
lynn academy,9
kings lynn,9
central library,9
careful planning,9
suspended precast,9
worked closely,9
planning approval,9
precast beam,9
interior education,9
disproportionate collapse,9
new properties,9
remodelling refurbishment,9
foundation solution,9
new secondary,9
hydrotherapy pool,9
housing comprised,9
school specialist,9
planning permission,9
fire safety,9
feasibility study,8
academy education,8
feasibility education,8
assisted living,8
data communication,8
ground beam,8
set building,8
garage social,8
accordance disproportionate,8
woodhall sports,8
employers agent,8
category building,8
power distribution,8
heat recovery,8
beam ground,8
collapse set,8
special sen,8
apartments houses,8
waltham forest,8
start finish,8
duties inspections,8
segregated ongoing,8
inspections handover,8
base srb,8
building survey,8
new care,8
housing residential,8
detached properties,8
air source,8
victory academy,8
education school,8
duke lancaster,8
conservation officer,8
fire strategy,8
refurbishment new,8
internal alterations,8
oaks sen,8
school nursery,8
public sector,8
refurb education,8
submission planning,8
internal refurbishment,8
associate director,7
passivhaus residential,7
green park,7
care village,7
school located,7
masonry envelope,7
great yarmouth,7
contracts education,7
garage conversion,7
make sure,7
feasibility concept,7
residential garage,7
precast planks,7
smoke extraction,7
community hub,7
building consent,7
water drainage,7
low carbon,7
social care,7
extension refurbishment,7
surrounding community,7
new houses,7
long term,7
heat pump,7
breeam good,7
access cctv,7
emergency fire,7
school pupils,7
superstructure steel,7
hall extension,7
childrens home,7
safe segregated,7
ormiston victory,7
school refurbishment,7
refurbishment extension,7
school norwich,6
cad technician,6
civic community,6
retaining wall,6
civil infrastructure,6
school director,6
much needed,6
refurbishment heritage,6
overseeing reviewing,6
adse overseeing,6
planning conditions,6
watton junior,6
topographical survey,6
heritage building,6
controls emergency,6
community engagement,6
expansion new,6
new buildings,6
measured building,6
engine shed,6
embodied carbon,6
checking approving,6
approving feasibility,6
new deep,6
head office,6
correct ready,6
ready issue,6
possible bring,6
kingsmead leisure,6
steel precast,6
movement joint,6
sub contractors,6
elfreda house,6
interior ffe,6
reviewing checking,6
park ride,6
state art,6
post surveying,6
pre post,6
fire alarms,6
soft landscaping,6
new modular,6
meynell approach,6
bills quantities,6
designing new,6
access road,6
initial feasibility,6
suppliers possible,6
businesses suppliers,6
distributing newsletters,6
morley town,6
community focused,6
community distributing,6
using businesses,6
swimming pool,6
residential care,6
utilised timber,6
access utilised,6
poor access,6
infill poor,6
landlocked infill,6
properties landlocked,6
football pitches,6
new semi,6
public consultation,6
following planning,6
allerton school,6
procurement procedure,6
bring value,6
timber masonry,6
holbeck sports,6
planning policy,6
procedure managing,6
managing start,6
finish final,6
devon county,6
school civil,6
account preparation,6
multiple overcome,6
srb contracts,6
new single,6
water attenuation,6
sheringham woodfields,6
food technology,6
building refurbishment,6
new homes,6
new passivhaus,6
new 2fe,5
2fe primary,5
blofield new,5
long stratton,5
carbon footprint,5
essex residential,5
fire stopping,5
newsletters using,5
social rent,5
planning submission,5
nps employed,5
housing sector,5
collating comments,5
information collating,5
nationally important,5
accordance handover,5
inspections accordance,5
weekly inspections,5
duties weekly,5
small power,5
artificial grass,5
employers information,5
set employers,5
met set,5
office building,5
energy carbon,5
housing clerk,5
nbs document,5
engagement surrounding,5
supporting guiding,5
nps supporting,5
comments nps,5
social engagement,5
ongoing social,5
programmed safe,5
certificate programmed,5
highway drainage,5
double decker,5
drainage highway,5
education replacement,5
planned maintenance,5
bishop wand,5
networks security,5
communication networks,5
advisors met,5
employed advisors,5
sen new,5
assessment supervision,5
specifications assessment,5
preparation specifications,5
wide range,5
covid pandemic,5
extension new,5
feasibility survey,5
consisting new,5
new technology,5
hethersett new,5
first second,5
thermal performance,5
pump technology,5
levels surface,5
earthworks levels,5
new access,5
new specialist,5
technician new,5
designing section,5
agreeing designing,5
drainage agreeing,5
ffe interior,5
foul water,5
surface foul,5
caf kitchen,5
refurbishment leisure,5
bed care,5
leisure new,5
extra care,5
school fire,5
building houses,5
new special,5
school greenfield,5
house new,5
condition surveys,5
new artificial,5
remodelling education,5
building designs,5
set new,5
new refurbishment,5
strip pad,5
traditional strip,5
surveying education,5
drawing package,5
mature trees,5
housing sale,5
ground conditions,5
cringleford new,5
whilst maintaining,5
security access,5
deep drainage,5
new steel,5
brookfield brentwood,5
mental health,5
academy interior,5
specialist academy,5
beam foundation,5
manor school,5
plantation road,5
nature building,5
extension education,5
refurbishment refurbishment,5
school clerk,5
school extension,5
new community,5
bim modelling,5
university exeter,5
academy school,5
constructing new,5
buildings new,5
thermal comfort,5
hall kitchen,5
blofield primary,5
modelling disciplines,5
improve accessibility,5
children home,5
school school,5
broadwater school,5
promise school,5
nursery education,5
norwich castle,5
heat pumps,5
education refurbishment,5
learning difficulties,5
school internal,5
semh school,5
metal deck,5
refurb extension,5
swaffham new,4
community museum,4
bure park,4
procurement education,4
authority conservation,4
community college,4
cdm principal,4
carrowbreck meadow,4
boiler change,4
load bearing,4
traditional methods,4
envelope delayed,4
hard soft,4
billericay essex,4
fully operational,4
conversion residential,4
asbestos removal,4
residential properties,4
solar panels,4
refurbishment alteration,4
demolition buildings,4
secondary education,4
gayton new,4
modern standards,4
student population,4
okehampton promise,4
building education,4
link building,4
attleborough rosecroft,4
school disciplinary,4
catholic school,4
classroom building,4
sports pitches,4
drama studio,4
refurbishment school,4
classroom new,4
disciplinary education,4
carbon emissions,4
tight deadline,4
safety accessibility,4
bowthorpe care,4
right way,4
minimise disruption,4
sale planning,4
education public,4
lancaster sen,4
fakenham duke,4
ventilation domestic,4
sensory friendly,4
sheltered housing,4
delayed significantly,4
expansion associate,4
