term,count
new,678
school,563
building,425
education,347
primary,248
refurbishment,195
planning,163
housing,149
residential,139
hall,110
academy,103
sports,97
sen,96
community,93
extension,88
expansion,87
access,85
park,85
care,79
fire,76
specialist,74
buildings,74
public,71
energy,70
ground,69
leisure,66
road,66
internal,65
house,64
heritage,64
feasibility,62
survey,61
remodelling,60
office,58
home,58
surveying,58
teaching,57
secondary,53
social,53
carbon,51
listed,51
houses,49
pupils,48
drainage,46
safety,45
homes,45
hub,44
procurement,44
special,42
replacement,40
water,40
refurb,40
classroom,39
commercial,38
properties,38
send,38
traditional,37
health,37
classrooms,37
ventilation,36
infrastructure,36
environment,36
wellbeing,34
maintenance,34
compliance,34
steel,33
operational,33
first,33
one,33
students,33
conversion,33
offices,33
agent,33
meet,32
following,32
surveys,32
foundation,32
children,32
learning,32
city,32
hethersett,32
change,32
data,32
grade,31
defects,31
need,31
norwich,31
final,31
meeting,31
deliver,31
worked,31
heat,30
adjacent,30
power,30
affordable,30
whilst,30
managing,30
historic,30
handover,30
specific,30
civil,30
kitchen,29
landscape,29
single,29
used,29
set,29
town,29
around,29
demolition,29
complete,29
nps,29
projects,29
condition,29
overseeing,29
place,28
fabric,28
engagement,28
interior,28
includes,28
comprised,28
safe,28
challenging,28
information,28
changes,28
central,27
principal,27
multiple,27
delivering,27
stakeholders,27
schools,27
srb,27
library,27
preparation,27
modern,27
zero,27
inspections,27
duties,26
detailing,26
parking,26
levels,26
authority,26
blocks,26
county,26
garage,26
technology,26
college,25
employer,25
small,25
regulations,25
land,25
extensive,25
swaffham,25
passivhaus,25
costs,25
green,25
meetings,25
living,24
estate,24
apartments,24
contractors,24
disciplinary,24
changing,24
materials,24
accordance,24
careful,24
approach,24
maintaining,24
production,24
windows,24
science,24
strategy,24
concept,24
proposed,24
standards,24
needed,23
accessibility,23
unit,23
senior,23
using,23
performance,23
initial,23
museum,23
would,23
removal,23
communication,23
pool,23
plant,23
structure,23
progress,23
approval,22
resource,22
plan,22
gas,22
play,22
redevelopment,22
fit,22
value,22
supported,22
lynn,22
supporting,22
service,22
former,22
create,22
possible,22
designing,21
met,21
improve,21
live,21
liaison,21
conservation,21
ongoing,21
side,21
landscaping,21
tower,21
police,21
timber,21
specifications,21
post,21
reinforced,21
undertaken,21
early,21
art,21
contracts,21
open,21
sector,21
number,21
could,21
university,21
start,21
necessary,20
consent,20
constructed,20
conditions,20
assisting,20
phases,20
carried,20
secure,20
director,20
net,20
fully,20
separate,20
overcome,20
pavilion,20
student,20
alongside,20
ffe,20
assessment,20
located,20
purpose,20
technician,20
way,20
pre,20
modular,20
air,20
pupil,19
accommodate,19
prior,19
efficiency,19
entry,19
months,19
wider,19
onwards,19
closely,19
installations,19
resulted,19
thermal,19
inspection,19
masonry,19
tight,19
designs,19
account,19
property,19
private,19
review,19
addition,19
clients,19
devon,19
workshop,19
north,19
floors,19
asbestos,19
minimise,19
alterations,18
aged,18
precast,18
employers,18
associate,18
base,18
beam,18
wymondham,18
detached,18
year,18
planned,18
substructure,18
nursery,18
security,18
roofing,18
manage,18
identified,18
constraints,18
supervision,18
regular,18
operations,18
equipment,18
delays,18
nec,18
autism,18
material,17
manor,17
cladding,17
presented,17
managed,17
overall,17
reduce,17
clerk,17
civic,17
bills,17
user,17
liaising,17
caf,17
range,17
court,17
via,17
upgrades,17
solutions,17
nature,17
brentwood,17
mixed,17
consultation,17
disciplines,17
village,17
emergency,17
alarm,17
incorporating,17
original,17
solution,17
cdm,17
sustainable,17
junior,17
along,16
semi,16
london,16
benefit,16
general,16
improvements,16
superstructure,16
board,16
walls,16
south,16
pedestrian,16
period,16
appointed,16
rates,16
enable,16
portfolio,16
environmental,16
trees,16
calculations,16
oaks,16
efficient,16
flats,16
solar,16
limited,16
users,15
reporting,15
strategic,15
risk,15
business,15
future,15
potential,15
result,15
checking,15
victorian,15
location,15
blofield,15
impact,15
aspects,15
cringleford,15
allow,15
submission,15
creating,15
layouts,15
comprising,15
issuing,15
dwellings,15
boundary,15
replace,15
life,15
operation,15
decarbonisation,15
monitoring,15
norse,15
developed,15
features,15
roofs,15
model,15
asset,15
incorporated,14
routes,14
assisted,14
electric,14
achieve,14
entrance,14
assistance,14
maintain,14
refurbishments,14
producing,14
foundations,14
good,14
took,14
campus,14
elements,14
station,14
involves,14
revit,14
hotel,14
temporary,14
surrounding,14
prepared,14
term,14
available,14
able,14
traffic,14
focused,14
highway,14
lane,14
charging,14
phased,14
develop,14
important,14
vehicle,14
statutory,14
years,14
gallery,14
pitches,14
sensory,14
storage,14
bed,14
flat,13
coordinating,13
sprowston,13
double,13
given,13
street,13
highways,13
lower,13
scope,13
covid,13
bim,13
point,13
tendering,13
whole,13
undertake,13
regarding,13
standalone,13
made,13
reports,13
help,13
long,13
successful,13
package,13
second,13
carry,13
bedroom,13
ict,13
essential,13
exeter,13
structures,13
measures,13
envelope,13
accessible,13
reviewing,13
leading,13
proposals,13
acted,13
level,13
activities,13
mep,13
hospital,13
modelling,13
section,13
doors,13
options,13
currently,13
engineers,13
certificate,13
provides,13
kings,12
constrained,12
carrying,12
controls,12
movement,12
improved,12
surface,12
window,12
brookfield,12
category,12
district,12
originally,12
successfully,12
continuous,12
places,12
studio,12
football,12
particularly,12
without,12
individual,12
report,12
outdoor,12
plans,12
ncc,12
busy,12
achieving,12
issue,12
sustainability,12
soft,12
upgrade,12
drawing,12
king,12
supply,12
study,12
improving,12
commissioned,12
financial,12
group,12
programmed,12
growth,12
documents,12
great,12
variations,12
poor,12
retaining,12
consultants,12
address,12
cad,12
many,11
acting,11
inclusive,11
strip,11
conjunction,11
remained,11
achieved,11
proposal,11
2fe,11
low,11
wide,11
assets,11
renovation,11
surrey,11
utilised,11
gardens,11
topographical,11
wall,11
sections,11
details,11
dementia,11
elevations,11
layout,11
distribution,11
cctv,11
locations,11
requirement,11
commissioning,11
plus,11
foul,11
act,11
officer,11
assessments,11
concerns,11
points,11
combined,11
muga,11
enabling,11
field,11
storm,11
suspended,11
colchester,11
source,11
circulation,10
bradwell,10
occupied,10
reception,10
grass,10
drive,10
measurement,10
annual,10
sale,10
2025,10
offering,10
panels,10
upgrading,10
line,10
pandemic,10
introduced,10
bungalows,10
expectations,10
non,10
oversight,10
approved,10
created,10
smoke,10
diverse,10
ready,10
deck,10
policy,10
permission,10
produce,10
element,10
lines,10
recovery,10
followed,10
pipework,10
adopted,10
essex,10
keeping,10
growing,10
segregated,10
preparing,10
experience,10
clear,10
pile,10
boiler,10
allerton,10
containing,10
make,10
valuations,10
woodhall,10
ordination,10
day,10
bring,10
delayed,10
hydrotherapy,10
difficulties,10
enhance,10
country,10
setting,10
events,10
helped,10
schemes,10
orchard,10
much,10
silfield,10
england,10
breeam,10
duke,9
continue,9
lancaster,9
dealing,9
rent,9
suppliers,9
installed,9
based,9
regeneration,9
forward,9
renewable,9
analysis,9
york,9
collaboration,9
occupation,9
previous,9
masterplan,9
revised,9
load,9
stakeholder,9
east,9
directly,9
however,9
arrangements,9
2016,9
natural,9
previously,9
fakenham,9
industrial,9
repair,9
forest,9
2024,9
requiring,9
inception,9
apartment,9
subsequent,9
ancillary,9
mix,9
opportunities,9
demand,9
funding,9
attenuation,9
deadline,9
therefore,9
enhancing,9
domestic,9
agree,9
sub,9
